week_start,Agency,incident_type,num_incidents,call_to_pickup,call_to_dispatch,call_to_arrival,avg_travel_time
2025-11-24,NYPD (Non-CIP),Dispute,4388,3.61,866.84,3492.78,43.77
2025-11-24,NYPD (Non-CIP),Investigate/Possible Crime,1,4.0,249.0,356.0,1.78
2025-11-24,FDNY,3. Medical Emergencies,3179,3.53,346.28,703.21,5.95
2025-11-24,EMS,1. Life Threating Med Emergencies,8163,3.54,217.15,698.14,8.02
2025-11-24,NYPD (Non-CIP),Past Crime,3276,3.51,942.47,6057.95,85.26
2025-11-24,NYPD (Non-CIP),Disorderly Person/Group/Noise,1527,3.47,703.47,3123.27,40.33
2025-11-24,FDNY,2. Non-Structural Fires,100,3.55,101.63,384.43,4.71
2025-11-24,NYPD (Non-CIP),Hazardous Materials/Suspicious Letters/Packages/Substances/Substances,109,3.54,442.77,3479.61,50.61
2025-11-24,NYPD,3. Non-Critical,655,3.92,535.09,1625.54,18.17
2025-11-24,FDNY,4. Non-Medical Emergencies,2316,3.61,219.48,552.08,5.54
2025-11-24,FDNY,1. Structural Fires,328,3.44,98.16,294.6,3.27
2025-11-24,EMS,2. Non-Life Threatening Med Emergencies,10134,3.54,560.75,1313.05,12.54
2025-11-24,NYPD (Non-CIP),Police Officer/Security Holding Suspect,97,3.74,500.86,1439.6,15.65
2025-11-24,NYPD (Non-CIP),Vehicle Accident,267,3.46,954.95,4339.37,56.41
2025-11-24,NYPD,2. Serious,2077,3.58,275.25,703.28,7.13
2025-11-24,NYPD (Non-CIP),Possible Crimes,4902,3.49,817.55,4418.54,60.02
2025-11-24,NYPD (Non-CIP),Other Crimes (In Progress),2374,3.49,565.68,1606.52,17.35
2025-11-24,NYPD (Non-CIP),Alarms,2167,3.62,594.47,2887.32,38.21
2025-11-24,NYPD,1. Critical,867,3.67,268.54,595.45,5.45
2025-11-17,NYPD,1. Critical,1051,3.36,268.65,567.79,4.99
2025-11-17,NYPD (Non-CIP),Hazardous Materials/Suspicious Letters/Packages/Substances/Substances,135,3.33,558.65,3483.81,48.75
2025-11-17,NYPD (Non-CIP),Police Officer/Security Holding Suspect,92,3.37,463.11,1330.58,14.46
2025-11-17,NYPD (Non-CIP),Dispute,5150,3.3,911.55,3641.15,45.49
2025-11-17,EMS,1. Life Threating Med Emergencies,9564,3.33,225.57,705.79,8.0
2025-11-17,NYPD (Non-CIP),Disorderly Person/Group/Noise,1883,3.27,729.69,3085.04,39.26
2025-11-17,NYPD (Non-CIP),Alarms,2304,3.39,606.82,2872.06,37.75
2025-11-17,FDNY,1. Structural Fires,286,3.34,96.42,296.26,3.33
2025-11-17,EMS,2. Non-Life Threatening Med Emergencies,12166,3.33,535.92,1286.55,12.51
2025-11-17,NYPD,2. Serious,2500,3.37,296.01,730.07,7.23
2025-11-17,FDNY,2. Non-Structural Fires,135,3.58,104.34,373.5,4.49
2025-11-17,NYPD (Non-CIP),Past Crime,4146,3.37,1122.29,6338.05,86.93
2025-11-17,FDNY,3. Medical Emergencies,3570,3.26,346.9,708.18,6.02
2025-11-17,NYPD (Non-CIP),Vehicle Accident,325,3.66,982.48,4727.05,62.41
2025-11-17,NYPD (Non-CIP),Possible Crimes,6204,3.33,819.15,4332.88,58.56
2025-11-17,NYPD (Non-CIP),Other Crimes (In Progress),2943,3.31,579.63,1674.63,18.25
2025-11-17,FDNY,4. Non-Medical Emergencies,2608,3.32,197.26,537.86,5.68
2025-11-17,NYPD,3. Non-Critical,793,3.31,543.79,1537.08,16.55
2025-11-10,FDNY,4. Non-Medical Emergencies,2668,3.42,214.79,548.42,5.56
2025-11-10,NYPD (Non-CIP),Disorderly Person/Group/Noise,1905,3.38,687.16,3047.43,39.34
2025-11-10,NYPD (Non-CIP),Hazardous Materials/Suspicious Letters/Packages/Substances/Substances,131,3.74,494.62,3487.76,49.89
2025-11-10,NYPD (Non-CIP),Investigate/Possible Crime,1,4.0,697.0,740.0,0.72
2025-11-10,NYPD (Non-CIP),Police Officer/Security Holding Suspect,122,3.38,488.97,1633.56,19.08
2025-11-10,NYPD (Non-CIP),Dispute,5194,3.44,873.91,3629.24,45.92
2025-11-10,NYPD (Non-CIP),Possible Crimes,5973,3.39,810.56,4359.93,59.16
2025-11-10,NYPD (Non-CIP),Vehicle Accident,335,3.57,839.84,3775.32,48.92
2025-11-10,FDNY,3. Medical Emergencies,3632,3.43,322.94,681.88,5.98
2025-11-10,NYPD,2. Serious,2377,3.42,268.82,704.82,7.27
2025-11-10,NYPD,3. Non-Critical,813,3.41,500.02,1602.94,18.38
2025-11-10,EMS,2. Non-Life Threatening Med Emergencies,11619,3.42,547.39,1298.49,12.52
2025-11-10,EMS,1. Life Threating Med Emergencies,9587,3.4,212.76,689.35,7.94
2025-11-10,FDNY,1. Structural Fires,259,3.26,94.21,296.76,3.38
2025-11-10,NYPD,1. Critical,1056,3.48,254.73,514.24,4.33
2025-11-10,NYPD (Non-CIP),Other Crimes (In Progress),2827,3.44,560.27,1618.08,17.63
2025-11-10,NYPD (Non-CIP),Past Crime,4149,3.45,998.17,5969.12,82.85
2025-11-10,NYPD (Non-CIP),Alarms,2492,3.38,614.03,2941.81,38.8
2025-11-10,FDNY,2. Non-Structural Fires,134,3.45,99.19,385.79,4.78
2025-11-03,FDNY,4. Non-Medical Emergencies,2698,3.89,200.48,542.76,5.7
2025-11-03,NYPD (Non-CIP),Police Officer/Security Holding Suspect,142,3.55,433.48,1652.64,20.32
2025-11-03,NYPD (Non-CIP),Dispute,5255,3.85,1071.73,3998.52,48.78
2025-11-03,NYPD,3. Non-Critical,839,4.24,614.6,1851.52,20.62
2025-11-03,NYPD (Non-CIP),Past Crime,4338,4.14,1373.48,6983.52,93.5
2025-11-03,EMS,1. Life Threating Med Emergencies,9836,3.94,215.81,701.2,8.09
2025-11-03,EMS,2. Non-Life Threatening Med Emergencies,12053,3.97,540.93,1285.61,12.41
2025-11-03,FDNY,3. Medical Emergencies,3682,3.93,353.46,704.84,5.86
2025-11-03,NYPD,1. Critical,1085,3.76,271.13,540.74,4.49
2025-11-03,NYPD (Non-CIP),Alarms,2360,3.8,628.13,3021.94,39.9
2025-11-03,FDNY,1. Structural Fires,267,3.39,93.45,300.55,3.45
2025-11-03,NYPD (Non-CIP),Hazardous Materials/Suspicious Letters/Packages/Substances/Substances,139,3.76,503.14,3799.68,54.94
2025-11-03,NYPD (Non-CIP),Possible Crimes,6252,3.94,893.21,4635.07,62.36
2025-11-03,NYPD (Non-CIP),Vehicle Accident,304,4.24,1267.34,4994.95,62.13
2025-11-03,NYPD,2. Serious,2507,3.94,287.71,732.72,7.42
2025-11-03,NYPD (Non-CIP),Disorderly Person/Group/Noise,1873,4.13,809.03,3287.17,41.3
2025-11-03,NYPD (Non-CIP),Other Crimes (In Progress),3033,3.82,681.14,1780.89,18.33
2025-11-03,FDNY,2. Non-Structural Fires,165,4.92,133.7,409.78,4.6
2025-10-27,NYPD (Non-CIP),Police Officer/Security Holding Suspect,120,5.73,573.44,1391.35,13.63
2025-10-27,NYPD (Non-CIP),Alarms,2448,4.54,730.38,3169.47,40.65
2025-10-27,NYPD (Non-CIP),Dispute,5316,4.41,1117.95,4200.96,51.38
2025-10-27,NYPD (Non-CIP),Hazardous Materials/Suspicious Letters/Packages/Substances/Substances,118,5.11,603.83,4793.49,69.83
2025-10-27,NYPD (Non-CIP),Possible Crimes,6581,4.84,988.45,4987.11,66.64
2025-10-27,EMS,1. Life Threating Med Emergencies,9821,4.61,237.79,748.84,8.52
2025-10-27,FDNY,4. Non-Medical Emergencies,3189,7.5,238.2,595.61,5.96
2025-10-27,NYPD,3. Non-Critical,786,4.42,672.91,1885.12,20.2
2025-10-27,NYPD (Non-CIP),Vehicle Accident,322,4.94,1334.74,5000.08,61.09
2025-10-27,NYPD,2. Serious,2701,4.42,305.48,771.75,7.77
2025-10-27,NYPD (Non-CIP),Past Crime,4112,4.56,1288.47,6974.41,94.77
2025-10-27,FDNY,1. Structural Fires,263,5.14,99.12,310.72,3.53
